"","positions","player","team","rating"
"1","
                                    2
                                ","Mohammad Rizwan","PAK","836"
"2","
                                    3
                                ","Babar Azam","PAK","778"
"3","
                                    4
                                ","Devon Conway","NZ","768"
"4","
                                    5
                                ","Aiden Markram","SA","748"
"5","
                                    6
                                ","Dawid Malan","ENG","719"
"6","
                                    7
                                ","Rilee Rossouw","SA","693"
"7","
                                    8
                                ","Aaron Finch","AUS","680"
"8","
                                    9
                                ","Glenn Phillips","NZ","662"
"9","
                                    10
                                ","Alex Hales","ENG","655"
"10","
                                    11
                                ","Jos Buttler","ENG","652"
"11","
                                    12
                                ","Pathum Nissanka","SL","643"
"12","
                                    13
                                ","Muhammad Waseem","UAE","626"
"13","
                                    14
                                ","Quinton de Kock","SA","614"
"14","
                                    15
                                ","Virat Kohli","IND","612"
"15","
                                    16
                                ","Rahmanullah Gurbaz","AFG","598"
"16","
                                    17
                                ","Brandon King","WI","583"
"17","
                                    18
                                ","Nicholas Pooran","WI","582"
"18","
                                    19
                                ","Reeza Hendricks","SA","579"
"19","
                                    20
                                ","George Munsey","SCO","572"
"20","
                                    21
                                ","Rassie van der Dussen","SA","565"
"21","
                                    22
                                ","Finn Allen","NZ","563"
"22","
                                    23
                                ","Richard Berrington","SCO","558"
"23","
                                    24
                                ","Hazratullah","AFG","556"
"24","
                                    25
                                ","Daryl Mitchell","NZ","552"
"25","
                                    26
                                ","Mitchell Marsh","AUS","552"
"26","
                                    27
                                ","Lokesh Rahul","IND","548"
"27","
                                    28
                                ","Martin Guptill","NZ","547"
"28","
                                    29
                                ","Rohit Sharma","IND","545"
"29","
                                    30
                                ","Shubman Gill","IND","542"
"30","
                                    31
                                ","David Miller","SA","542"
"31","
                                    32
                                ","Litton Das","BAN","541"
"32","
                                    33
                                ","Paul Stirling","IRE","541"
"33","
                                    34
                                ","Kariyawasa Asalanka","SL","539"
"34","
                                    35
                                ","Kusal Mendis","SL","530"
"35","
                                    36
                                ","Glenn Maxwell","AUS","527"
"36","
                                    37
                                ","Najibullah Zadran","AFG","524"
"37","
                                    38
                                ","David Warner","AUS","521"
"38","
                                    39
                                ","Marcus Stoinis","AUS","519"
"39","
                                    40
                                ","Tony Ura","PNG","519"
"40","
                                    41
                                ","Bhanuka Rajapaksa","SL","517"
"41","
                                    42
                                ","Dasun Shanaka","SL","517"
"42","
                                    43
                                ","Max O'Dowd","NED","517"
"43","
                                    44
                                ","Kane Williamson","NZ","513"
"44","
                                    45
                                ","Ben Duckett","ENG","512"
"45","
                                    46
                                ","Ibrahim Zadran","AFG","508"
"46","
                                    47
                                ","Moeen Ali","ENG","507"
"47","
                                    48
                                ","Ishan Kishan","IND","498"
"48","
                                    49
                                ","Afif Hossain","BAN","498"
"49","
                                    50
                                ","Hardik Pandya","IND","484"
"50","
                                    51
                                ","Andrew Balbirnie","IRE","484"
"51","
                                    52
                                ","Jason Roy","ENG","482"
"52","
                                    53
                                ","Kushal Bhurtel","NEP","478"
"53","
                                    54
                                ","Iftikhar Ahmed","PAK","478"
"54","
                                    55
                                ","Rovman Powell","WI","475"
"55","
                                    56
                                ","Mohammad Nabi","AFG","471"
"56","
                                    57
                                ","Heinrich Klaasen","SA","470"
"57","
                                    58
                                ","Shan Masood","PAK","469"
"58","
                                    59
                                ","Dipendra Airee","NEP","466"
"59","
                                    60
                                ","Navneet Dhaliwal","CAN","460"
"60","
                                    61
                                ","Gerhard Erasmus","NAM","458"
"61","
                                    62
                                ","Shakib Al Hasan","BAN","455"
"62","
                                    63
                                ","Jonny Bairstow","ENG","454"
"63","
                                    64
                                ","Mahmudullah","BAN","452"
"64","
                                    65
                                ","Matthew Wade","AUS","448"
"65","
                                    66
                                ","Shreyas Iyer","IND","446"
"66","
                                    67
                                ","Evin Lewis","WI","440"
"67","
                                    68
                                ","Mohammad Naim","BAN","439"
"68","
                                    69
                                ","Wesley Madhevere","ZIM","432"
"69","
                                    70
                                ","Kyle Mayers","WI","431"
"70","
                                    71
                                ","Harry Brook","ENG","429"
"71","
                                    72
                                ","Jatinder Singh","OMA","427"
"72","
                                    73
                                ","Rayyan Pathan","CAN","427"
"73","
                                    74
                                ","Zeeshan Maqsood","OMA","426"
"74","
                                    75
                                ","Lorcan Tucker","IRE","425"
"75","
                                    76
                                ","Craig Williams","NAM","422"
"76","
                                    77
                                ","Sikandar Raza","ZIM","418"
"77","
                                    78
                                ","Sean Williams","ZIM","418"
"78","
                                    79
                                ","Temba Bavuma","SA","416"
"79","
                                    80
                                ","J.J. Smit","NAM","409"
"80","
                                    81
                                ","Ben Cooper","NED","407"
"81","
                                    82
                                ","Matthew Cross","SCO","404"
"82","
                                    83
                                ","Fakhar Zaman","PAK","399"
"83","
                                    84
                                ","Nazmul Shanto","BAN","398"
"84","
                                    85
                                ","Aaron Johnson","CAN","397"
"85","
                                    86
                                ","Liam Livingstone","ENG","396"
"86","
                                    87
                                ","Craig Ervine","ZIM","394"
"87","
                                    88
                                ","Colin Ackermann","NED","393"
"88","
                                    89
                                ","Sese Bau","PNG","393"
"89","
                                    90
                                ","Usman Ghani","AFG","393"
"90","
                                    91
                                ","Stephan Baard","NAM","389"
"91","
                                    92
                                ","Chirag Suri","UAE","389"
"92","
                                    93
                                ","Ryan Burl","ZIM","387"
"93","
                                    94
                                ","Vriitya Aravind","UAE","386"
"94","
                                    95
                                ","Dhananjaya de Silva","SL","384"
"95","
                                    96
                                ","Harry Tector","IRE","383"
"96","
                                    97
                                ","Rishabh Pant","IND","382"
"97","
                                    98
                                ","Muhammad Usman","UAE","375"
"98","
                                    99
                                ","Shimron Hetmyer","WI","374"
"99","
                                    100
                                ","Norman Vanua","PNG","371"
