"","names","year","duration","rating"
"1","The Shawshank Redemption","(1994)","142 min","9.3"
"2","The Godfather","(1972)","175 min","9.2"
"3","The Dark Knight","(2008)","152 min","9.0"
"4","Schindler's List","(1993)","195 min","9.0"
"5","The Lord of the Rings: The Return of the King","(2003)","201 min","9.0"
"6","The Godfather Part II","(1974)","202 min","9.0"
"7","12 Angry Men","(1957)","96 min","9.0"
"8","Pulp Fiction","(1994)","154 min","8.9"
"9","The Lord of the Rings: The Fellowship of the Ring","(2001)","178 min","8.8"
"10","Inception","(2010)","148 min","8.8"
"11","Fight Club","(1999)","139 min","8.8"
"12","Forrest Gump","(1994)","142 min","8.8"
"13","The Lord of the Rings: The Two Towers","(2002)","179 min","8.8"
"14","Il buono, il brutto, il cattivo","(1966)","161 min","8.8"
"15","Jai Bhim","(2021)","164 min","8.8"
"16","The Matrix","(1999)","136 min","8.7"
"17","One Flew Over the Cuckoo's Nest","(1975)","133 min","8.7"
"18","GoodFellas","(1990)","145 min","8.7"
"19","The Empire Strikes Back","(1980)","124 min","8.7"
"20","Interstellar","(2014)","169 min","8.6"
"21","Se7en","(1995)","127 min","8.6"
"22","The Silence of the Lambs","(1991)","118 min","8.6"
"23","The Green Mile","(1999)","189 min","8.6"
"24","Star Wars","(1977)","121 min","8.6"
"25","Saving Private Ryan","(1998)","169 min","8.6"
"26","Terminator 2: Judgment Day","(1991)","137 min","8.6"
"27","Sen to Chihiro no kamikakushi","(2001)","125 min","8.6"
"28","La vita è bella","(1997)","116 min","8.6"
"29","Cidade de Deus","(2002)","130 min","8.6"
"30","It's a Wonderful Life","(1946)","130 min","8.6"
"31","Shichinin no samurai","(1954)","207 min","8.6"
"32","Seppuku","(1962)","133 min","8.6"
"33","Whiplash","(2014)","106 min","8.5"
"34","Gladiator","(2000)","155 min","8.5"
"35","Gisaengchung","(2019)","132 min","8.5"
"36","The Departed","(2006)","151 min","8.5"
"37","Back to the Future","(1985)","116 min","8.5"
"38","The Prestige","(2006)","130 min","8.5"
"39","Apocalypse Now","(1979)","147 min","8.5"
"40","Léon","(1994)","110 min","8.5"
"41","Alien","(1979)","117 min","8.5"
"42","The Usual Suspects","(1995)","106 min","8.5"
"43","The Lion King","(1994)","88 min","8.5"
"44","American History X","(1998)","119 min","8.5"
"45","Once Upon a Time in the West","(1968)","165 min","8.5"
"46","The Pianist","(2002)","150 min","8.5"
"47","The Intouchables","(2011)","112 min","8.5"
"48","Casablanca","(1942)","102 min","8.5"
"49","Psycho","(1960)","109 min","8.5"
"50","Hotaru no haka","(1988)","89 min","8.5"
